2017-04-04 14:08:55,731 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @13529683ms
2017-04-04 14:08:55,848 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2017-04-04 14:08:55,908 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@1fa7a71e{/help,null,AVAILABLE}
2017-04-04 14:08:55,916 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@49e03fdb{HTTP/1.1,[http/1.1]}{127.0.0.1:40329}
2017-04-04 14:08:55,916 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @13529872ms
2017-04-04 18:43:47,960 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@49e03fdb{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2017-04-04 18:43:48,045 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@1fa7a71e{/help,null,UNAVAILABLE}
2017-04-05 17:51:57,552 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: fr.mleduc.mt.compiler:fr.mleduc.mt.compiler:0.0.1-SNAPSHOT @ /home/mleduc/dev/ecore/clean-grammar/ale.java.compiler/pom.xml.
2017-04-05 17:51:57,609 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2017-04-05 17:51:58,320 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-05 17:51:58,321 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/mleduc/dev/ecore/clean-grammar/ale.java.compiler/src/main/resources
